angDist,_RAJ2000,_DEJ2000,recno,A,Name,RAJ2000,DEJ2000,amaj,ell,[3.6],[4.5],c31,M3.6,M4.5,logM*,Dmean,TT,Vr,S4G,Simbad,NED,LEDA,_RAJ2000,_DEJ2000,recno,Name,f_Name,RAJ2000,DEJ2000,vlsr,PA,i,Dist,r_Dist,logMstar,f_logMstar,r25,Re,lstar,logSFR,f_logSFR,l_logLCO,logLCO,Corr,logMHI,Res1,Res2,S4G,L19,Ntot,N7m,N12m,Simbad,LEDA
0.493658,344.86115,-37.70289,7,,IC5273,344.86115,-37.70289,103.3,0.29,11.326,11.747,2.662,-19.769,-19.348,10.029,16.557,5.7,1294.5,S4G,Simbad,NED,LEDA,344.86125,-37.702778,85,IC5273,,22 59 26.7,-37 42 10,1286.0,234.1,52.0,14.18,"  3,4",9.73,I,6.3,2.5,1.3,-0.27,FUVW4,,7.63,1.14,8.95,1.76,120.7,1,1,6,3,2,Simbad,LEDA
0.718371,353.61437,-36.10101,10,,IC5332,353.61437,-36.10101,231.0,0.035,10.689,11.12,3.087,-18.932,-18.501,9.702,8.4,6.8,704.0,S4G,Simbad,NED,LEDA,353.614583,-36.101111,88,IC5332,,23 34 27.5,-36 06 04,699.3,74.4,26.9,9.01,"    5",9.68,I,8.0,3.6,2.8,-0.39,FUVW4,,7.09,2.26,9.3,0.74,32.1,1,1,9,3,1,Simbad,LEDA
0.613083,185.30347,18.38261,59,,NGC4293,185.30347,18.38261,240.0,0.541,10.063,10.496,3.97,-20.717,-20.283,10.418,14.32,0.3,921.0,S4G,Simbad,NED,LEDA,185.303333,18.3825,47,NGC4293,,12 21 12.8,+18 22 57,926.2,48.3,65.0,15.76,"    7",10.52,I,14.3,4.7,2.8,-0.3,FUVW4,,8.12,1.57,7.67,1.16,89.0,1,1,8,4,1,Simbad,LEDA
0.582672,185.3865,14.60612,61,,NGC4298,185.3865,14.60612,171.0,0.435,10.847,11.282,2.75,-20.17,-19.734,10.201,15.971,5.2,1138.2,S4G,Simbad,NED,LEDA,185.386667,14.606111,48,NGC4298,,12 21 32.8,+14 36 22,1138.1,313.9,59.2,14.92,"    5",10.04,I,5.5,3.0,1.6,-0.34,FUVW4,,8.26,1.09,8.87,1.59,114.7,1,1,5,4,2,Simbad,LEDA
0.735001,185.4789,4.47375,64,,NGC4303,185.4789,4.47375,226.8,0.173,9.265,9.699,2.838,-21.817,-21.383,10.857,16.46,4.0,1566.4,S4G,Simbad,NED,LEDA,185.47875,4.473611,49,NGC4303,,12 21 54.9,+04 28 25,1559.8,312.4,23.5,16.99,"    7",10.51,I,17.0,3.4,3.1,0.73,FUVW4,,9.0,1.4,9.67,1.81,149.3,1,1,7,2,1,Simbad,LEDA
0.530651,185.72888,15.8223,74,,NGC4321,185.72888,15.8223,312.7,0.229,9.026,9.466,3.147,-21.988,-21.547,10.931,15.95,4.1,1574.7,S4G,Simbad,NED,LEDA,185.72875,15.822222,50,NGC4321,,12 22 54.9,+15 49 20,1572.3,156.2,38.5,15.21,"   11",10.75,I,13.5,5.5,3.6,0.55,FUVW4,,9.02,1.25,9.43,1.67,122.9,1,1,18,5,2,Simbad,LEDA
2.695051,192.7551,-6.39352,124,,NGC4731,192.7551,-6.39352,203.1,0.579,11.63,12.053,3.11,-19.847,-19.424,10.062,19.75,5.9,1492.2,S4G,Simbad,NED,LEDA,192.755,-6.392778,68,NGC4731,,12 51 01.2,-06 23 34,1483.6,255.4,64.0,13.28,"    7",9.5,I,12.2,7.3,3.0,-0.22,FUVW4,,7.29,2.52,9.44,1.53,98.4,0,1,5,3,2,Simbad,LEDA
0.397163,196.05461,-5.55156,137,,NGC4941,196.05461,-5.55156,137.6,0.226,10.718,11.138,4.678,-20.585,-20.165,10.355,18.22,2.1,1113.3,S4G,Simbad,NED,LEDA,196.054583,-5.551667,71,NGC4941,,13 04 13.1,-05 33 06,1116.0,202.2,53.4,15.0,"    7",10.18,I,7.3,3.4,2.2,-0.35,FUVW4,,7.8,1.27,8.49,1.59,115.3,1,1,5,2,2,Simbad,LEDA
0.201107,196.28211,-6.49384,141,,NGC4951,196.28211,-6.49384,123.3,0.571,11.486,11.907,4.193,-19.615,-19.194,9.968,16.6,6.0,1178.1,S4G,Simbad,NED,LEDA,196.282083,-6.493889,72,NGC4951,,13 05 07.7,-06 29 38,1176.1,91.2,70.2,15.0,"    2",9.79,I,6.9,1.9,1.9,-0.46,FUVW4,,7.65,1.22,9.21,1.25,91.2,1,1,5,2,1,Simbad,LEDA
0.421301,24.17387,15.78363,151,,NGC0628,24.17387,15.78363,346.3,0.16,9.074,9.337,3.164,-20.716,-20.453,10.291,9.078,5.2,656.2,S4G,Simbad,NED,LEDA,24.17375,15.783611,4,NGC0628,,01 36 41.7,+15 47 01,650.8,20.7,8.9,9.84,"    6",10.34,I,14.1,3.9,2.9,0.24,FUVW4,,8.41,1.73,9.7,1.12,53.5,1,1,24,10,8,Simbad,LEDA
0.211975,26.92841,-52.76198,159,,NGC0685,26.92841,-52.76198,132.8,0.237,11.555,11.962,2.65,-19.354,-18.947,9.853,15.2,5.4,1359.5,S4G,Simbad,NED,LEDA,26.928333,-52.761944,5,NGC0685,,01 47 42.8,-52 45 43,1346.6,100.9,23.0,19.94,"  3,4",10.07,I,8.7,5.0,3.1,-0.38,W4ONLY,,7.87,1.25,9.57,1.69,163.0,1,1,8,3,2,Simbad,LEDA
0.191617,190.98578,13.12668,186,,NGC4654,190.98578,13.12668,227.4,0.543,10.161,10.583,2.977,-20.908,-20.487,10.485,16.362,5.9,1037.9,S4G,Simbad,NED,LEDA,190.985833,13.126667,65,NGC4654,,12 43 56.6,+13 07 36,1051.5,123.2,55.6,21.98,"   11",10.57,I,15.1,5.6,4.0,0.58,FUVW4,,8.84,1.18,9.75,1.72,182.8,1,1,12,6,2,Simbad,LEDA
0.397619,191.93989,13.76275,196,,NGC4689,191.93989,13.76275,184.8,0.182,10.606,11.178,2.97,-20.657,-20.086,10.495,17.891,4.7,1618.5,S4G,Simbad,NED,LEDA,191.94,13.762778,66,NGC4689,,12 47 45.6,+13 45 46,1614.2,164.1,38.7,15.0,"2,3,4",10.24,I,8.3,4.7,3.0,-0.39,W4ONLY,,8.22,1.19,8.54,1.18,86.0,1,1,11,5,1,Simbad,LEDA
0.839504,192.06271,10.98372,198,,NGC4694,192.06271,10.98372,114.3,0.22,11.554,12.006,4.98,-19.37,-18.918,9.892,15.302,-2.0,1181.8,S4G,Simbad,NED,LEDA,192.0625,10.983611,67,NGC4694,,12 48 15.0,+10 59 01,1168.4,143.3,60.7,15.76,"    7",9.9,I,4.6,1.9,1.6,-0.81,FUVW4,,7.41,1.3,8.51,1.17,89.3,1,1,3,1,1,Simbad,LEDA
0.765163,137.58395,7.03798,263,,NGC2775,137.58395,7.03798,218.6,0.076,9.473,9.998,4.286,-21.679,-21.154,10.87,17.0,1.7,1354.8,S4G,Simbad,NED,LEDA,137.58375,7.038056,28,NGC2775,,09 10 20.1,+07 02 17,1339.2,156.5,41.2,23.15,"  3,4",11.07,I,14.3,4.6,4.1,-0.06,FUVW4,,8.4,1.29,8.65,1.09,122.6,1,1,4,4,1,Simbad,LEDA
3.742959,143.0424,21.50183,281,,NGC2903,143.0424,21.50183,365.5,0.508,8.4,8.807,3.096,-21.385,-20.978,10.665,9.058,4.0,555.3,S4G,Simbad,NED,LEDA,143.042083,21.500833,30,NGC2903,,09 32 10.1,+21 30 03,547.0,203.7,66.8,10.0,"2,3,4",10.64,I,17.4,3.7,3.5,0.49,FUVW4,,8.76,1.18,9.54,1.45,70.5,0,1,33,18,7,Simbad,LEDA
0.551659,183.87681,9.58494,369,,NGC4207,183.87681,9.58494,61.3,0.353,11.871,12.27,3.581,-19.41,-19.011,9.87,18.04,9.3,596.2,S4G,Simbad,NED,LEDA,183.876667,9.585,45,NGC4207,,12 15 30.4,+09 35 06,606.6,121.9,64.5,15.78,"    2",9.72,I,3.4,1.4,0.7,-0.72,FUVW4,,7.71,1.03,8.58,1.22,93.2,1,1,6,1,1,Simbad,LEDA
0.207249,198.87923,-23.98389,528,,NGC5042,198.87923,-23.98389,151.7,0.47,11.454,11.848,3.01,-19.517,-19.122,9.909,15.633,5.0,1389.0,S4G,Simbad,NED,LEDA,198.879167,-23.983889,74,NGC5042,,13 15 31.0,-23 59 02,1385.6,190.6,49.4,16.78,"  3,4",9.9,I,10.2,3.3,2.4,-0.22,FUVW4,,7.69,1.84,9.29,1.33,107.8,1,0,4,2,1,Simbad,LEDA
0.797620,199.72811,-21.03874,531,,NGC5068,199.72811,-21.03874,232.6,0.048,9.844,10.249,2.748,-19.074,-18.669,9.739,6.075,6.0,670.3,S4G,Simbad,NED,LEDA,199.727917,-21.038611,75,NGC5068,,13 18 54.7,-21 02 19,667.2,342.4,35.7,5.2,"    5",9.41,I,5.7,2.0,1.3,-0.56,FUVW4,,7.26,1.38,8.82,1.04,26.2,1,1,20,8,2,Simbad,LEDA
1.130178,52.88003,-51.90485,694,,IC1954,52.88003,-51.90485,121.8,0.438,11.277,11.671,2.861,-19.645,-19.251,9.959,15.287,3.2,1062.6,S4G,Simbad,NED,LEDA,52.879583,-51.905,12,IC1954,,03 31 31.1,-51 54 18,1039.1,63.4,57.1,12.8,"2,3,4",9.67,I,5.6,2.4,1.5,-0.44,FUVW4,,7.78,1.1,8.85,1.56,97.1,0,1,7,3,1,Simbad,LEDA
0.156838,40.66962,-0.01331,798,,NGC1068,40.66962,-0.01331,287.8,0.002,7.949,7.908,7.438,-22.703,-22.743,10.861,13.5,3.0,1141.2,S4G,Simbad,NED,LEDA,40.669583,-0.013333,6,NGC1068,X,02 42 40.7,-00 00 48,1130.1,72.7,34.7,13.97,"  3,4",10.91,I,12.4,0.9,7.3,1.64,FUVW4,,9.23,1.3,9.06,8.69,588.6,1,1,0,2,0,Simbad,LEDA
0.899570,41.6051,-0.49884,803,,NGC1087,41.6051,-0.49884,127.1,0.366,10.847,11.211,2.85,-20.37,-20.005,10.228,17.512,5.2,1519.2,S4G,Simbad,NED,LEDA,41.605,-0.498611,8,NGC1087,,02 46 25.2,-00 29 55,1501.5,359.1,42.9,15.85,"    7",9.94,I,6.9,3.2,2.1,0.11,FUVW4,,8.32,1.06,9.1,1.6,123.1,1,1,15,3,1,Simbad,LEDA
0.590759,41.57894,-30.27472,805,,NGC1097,41.57894,-30.27472,362.4,0.368,8.702,9.117,9.265,-22.807,-22.392,11.24,20.038,3.3,1271.2,S4G,Simbad,NED,LEDA,41.57875,-30.274722,7,NGC1097,,02 46 18.9,-30 16 29,1257.5,122.4,48.6,13.58,"  3,4",10.76,I,20.9,2.6,4.3,0.68,FUVW4,,8.93,1.31,9.61,1.7,111.7,1,1,22,12,4,Simbad,LEDA
0.435999,165.85572,18.1355,867,,NGC3507,165.85572,18.1355,114.0,0.075,11.08,11.555,3.305,-19.914,-19.438,10.127,15.8,3.1,979.1,S4G,Simbad,NED,LEDA,165.855833,18.135556,38,NGC3507,,11 03 25.4,+18 08 08,969.4,55.8,21.7,23.55,"    2",10.4,I,10.0,3.7,2.3,0.0,FUVW4,,8.34,1.17,9.32,1.36,155.2,1,1,5,5,1,Simbad,LEDA
0.185451,165.84921,-23.0867,869,,NGC3511,165.84921,-23.0867,204.0,0.634,10.555,10.956,3.258,-20.218,-19.817,10.194,14.277,5.1,1106.3,S4G,Simbad,NED,LEDA,165.849167,-23.086667,37,NGC3511,,11 03 23.8,-23 05 12,1096.7,256.8,75.1,13.94,"  3,4",10.03,I,12.2,4.4,2.4,-0.09,FUVW4,,8.15,1.07,9.37,1.8,121.5,1,1,6,5,2,Simbad,LEDA
0.503344,166.45241,-0.03594,872,,NGC3521,166.45241,-0.03594,411.3,0.434,8.202,8.656,3.92,-22.208,-21.754,11.03,12.078,4.0,800.4,S4G,Simbad,NED,LEDA,166.4525,-0.035833,39,NGC3521,,11 05 48.6,-00 02 09,798.0,343.0,68.8,13.24,"    2",11.03,I,16.0,3.9,4.9,0.57,FUVW4,,8.98,1.18,9.83,1.33,85.5,1,1,16,12,7,Simbad,LEDA
0.420044,168.77582,14.78706,882,,NGC3596,168.77582,14.78706,112.4,0.076,11.164,11.581,3.002,-19.781,-19.363,10.032,15.45,5.2,1192.5,S4G,Simbad,NED,LEDA,168.775833,14.786944,40,NGC3596,,11 15 06.2,+14 47 13,1187.9,78.4,25.1,11.3,"    6",9.66,I,6.0,1.6,2.0,-0.52,NUVW4,,7.81,1.13,8.85,1.22,66.9,1,1,9,3,1,Simbad,LEDA
0.907728,168.86233,18.11037,883,A,NGC3599,168.86233,18.11037,96.3,0.121,11.812,12.304,7.704,-19.656,-19.164,10.036,19.657,-2.0,,S4G,Simbad,NED,LEDA,168.862083,18.110278,41,NGC3599,X,11 15 26.9,+18 06 37,836.8,41.9,23.0,19.86," 2,13",10.04,I,6.9,1.7,2.0,-1.35,FUVW4,<,6.7,1.35,,0.66,63.2,1,1,3,5,1,Simbad,LEDA
0.299347,65.00156,-54.938,893,,NGC1566,65.00156,-54.938,263.1,0.146,9.32,9.762,4.086,-21.117,-20.676,10.584,12.234,4.0,1502.4,S4G,Simbad,NED,LEDA,65.001667,-54.938056,20,NGC1566,,04 20 00.4,-54 56 17,1483.3,214.7,29.5,17.69,"    7",10.79,I,18.6,3.2,3.9,0.66,FUVW4,,8.89,1.22,9.8,1.25,107.6,1,1,29,10,2,Simbad,LEDA
0.427534,70.36743,-2.85796,897,,NGC1637,70.36743,-2.85796,156.7,0.277,10.561,11.027,3.147,-19.587,-19.121,9.99,10.703,5.0,715.2,S4G,Simbad,NED,LEDA,70.3675,-2.858056,21,NGC1637,,04 41 28.2,-02 51 29,698.9,20.6,31.1,11.7,"   10",9.95,I,5.4,2.8,1.8,-0.2,W4ONLY,,7.98,1.1,9.2,1.39,78.9,1,1,9,5,4,Simbad,LEDA
0.248304,71.42701,-59.24728,899,,NGC1672,71.42701,-59.24728,235.4,0.074,9.355,9.72,11.092,-21.452,-21.087,10.661,14.5,3.3,1335.2,S4G,Simbad,NED,LEDA,71.427083,-59.247222,22,NGC1672,,04 45 42.5,-59 14 50,1318.3,134.3,42.6,19.4,"  3,4",10.73,I,17.4,3.4,5.8,0.88,FUVW4,,9.05,1.25,10.21,1.93,181.7,1,1,10,3,1,Simbad,LEDA
1.158127,76.30999,-37.98058,905,,NGC1792,76.30999,-37.98058,186.5,0.444,9.437,9.835,2.445,-21.166,-20.768,10.571,13.2,4.0,1210.0,S4G,Simbad,NED,LEDA,76.309583,-37.980556,24,NGC1792,,05 05 14.3,-37 58 50,1175.9,318.9,65.1,16.2,"  3,4",10.62,I,13.1,4.1,2.4,0.57,FUVW4,,8.95,1.11,9.25,1.92,150.9,0,1,13,8,3,Simbad,LEDA
0.410023,75.52059,-69.56798,908,,NGC1809,75.52059,-69.56798,162.9,0.694,12.349,12.753,2.972,-18.488,-18.083,9.504,14.7,5.0,1301.4,S4G,Simbad,NED,LEDA,75.520833,-69.568056,23,NGC1809,,05 02 05.0,-69 34 05,1290.4,138.2,57.6,19.95,"    2",9.77,I,10.9,4.5,2.4,0.76,NUVW4,,7.49,4.24,9.6,1.41,136.0,1,1,2,2,1,Simbad,LEDA
0.771301,160.99062,11.70366,941,,NGC3351,160.99062,11.70366,253.3,0.261,9.2,9.668,5.757,-20.825,-20.356,10.486,10.113,3.1,777.6,S4G,Simbad,NED,LEDA,160.990833,11.703611,35,NGC3351,,10 43 57.8,+11 42 13,774.7,193.2,45.1,9.96,"    6",10.37,I,10.5,3.0,2.1,0.12,FUVW4,,8.13,1.55,8.93,1.46,70.7,1,1,8,2,1,Simbad,LEDA
